Количество элементов,Set,AVL
50000,71,43
100000,170,120
150000,301,211
200000,464,317
250000,598,422
300000,762,548
350000,941,645
400000,1120,768
450000,1299,916
500000,1503,1035
550000,1680,1169
600000,1885,1324
650000,2092,1439
700000,2298,1583
750000,2522,1724
800000,2722,1861
850000,2944,2008
900000,3153,2173
950000,3381,2281
1000000,3609,2425
