Количество элементов,AVLTree с семинара,Set,AVL
50000,30,66,38
100000,66,143,80
150000,106,223,121
200000,146,308,165
250000,187,387,207
300000,233,469,251
350000,271,550,296
400000,315,651,344
450000,362,724,388
500000,400,810,431
550000,440,897,481
600000,485,984,526
650000,527,1066,569
700000,571,1152,618
750000,690,1340,685
800000,681,1357,716
850000,726,1435,762
900000,766,1523,803
950000,814,1620,854
1000000,854,1713,903
