Количество элементов (запросов),Set,AVL
50000,14,16
100000,30,39
150000,48,64
200000,65,94
250000,82,117
300000,104,145
350000,121,172
400000,142,210
450000,163,234
500000,175,258
550000,201,287
600000,216,316
650000,235,346
700000,249,365
750000,274,396
800000,294,427
850000,310,454
900000,332,485
950000,346,514
1000000,373,545
